Image Sharpness,Brightness Consistency,Color Variance,Edge Density,Text Clarity,Noise Level,Contrast Ratio,Symmetry Score,Font Consistency,Seal Quality,Watermark Detection,Resolution Quality,Compression Artifacts,Color Depth,Geometric Consistency,label,filename
6.353875690553253,7.855725201432486,3.267553905599155,0.3444133119853614,5.0,0,2.1442747985675132,7.968147666971637,0.1438700823421775,10,8.1971352306706,2.2427401446056274,5.973305107186187,4.8626262407024665,6.495713670631202,authentic,WhatsApp Image 2025-09-05 at 19.47.24_e676e505.jpg
7.358894170223246,7.882994594570697,3.0359115643582344,0.33885389036251107,5.0,0,2.117005405429303,7.225035234305924,0.3778183023872679,10,6.658750838597726,2.25758258758138,7.145175715366793,4.498227823151784,7.2385778118512185,authentic,WhatsApp Image 2025-09-05 at 20.33.04_8bcc3e5e.jpg
4.023381241413626,7.121866177713592,5.338201896890977,0.5322205720927229,5.0,2.1051399857235955,2.8781338222864075,6.174780004309416,0.3606071041662183,10,7.78612317441689,1.7462697991185596,6.028854726712359,4.282191456275556,6.72366937532819,authentic,WhatsApp Image 2025-09-05 at 20.33.05_8b516c23.jpg
4.023381241413626,7.121866177713592,5.338201896890977,0.5322205720927229,5.0,2.1051399857235955,2.8781338222864075,6.174780004309416,0.3606071041662183,10,8.184602032092297,1.7462697991185596,4.336853816282748,4.282191456275556,7.574670848265452,authentic,WhatsApp Image 2025-09-05 at 20.33.05_8b516c23.jpg
4.023381241413626,7.121866177713592,5.338201896890977,0.5322205720927229,5.0,2.1051399857235955,2.8781338222864075,6.174780004309416,0.3606071041662183,10,5.83556413697362,1.7462697991185596,4.268262514165503,4.282191456275556,7.5088018112497465,authentic,WhatsApp Image 2025-09-05 at 20.33.05_8b516c23.jpg
10,7.943411750978225,2.6245317709408718,0.4374699464579799,5.0,0,2.0565882490217753,6.6378935843050915,0.13095246993400056,10,6.998248623739695,2.302511666690135,6.827603606702883,4.093141404751149,8.234252079155715,fake,Dhruv Taraviya.pdf
10,7.943411750978225,2.6245317709408718,0.4374699464579799,5.0,0,2.0565882490217753,6.6378935843050915,0.13095246993400056,10,7.911165954771587,2.302511666690135,5.63823493166702,4.093141404751149,7.895069361679687,fake,Dhruv Taraviya.pdf
10,7.943411750978225,2.6245317709408718,0.4374699464579799,5.0,0,2.0565882490217753,6.6378935843050915,0.13095246993400056,10,7.307780970575841,2.302511666690135,5.686247024467678,4.093141404751149,7.79163808255798,fake,Dhruv Taraviya.pdf
10,5.938251300098893,10,0.202697282038633,5.0,0,4.061748699901107,7.679402206971925,0.06921346299023089,10,8.78899150682505,2.302511666690135,4.771574974725509,3.9440382800544183,8.717316287356578,fake,Rajeshwari Meti.pdf
7.898981299065321,7.369888039678389,4.803010693111582,0.1623501682998353,5.0,0,2.630111960321611,4.203720141759954,0.056033505494970944,10,8.314205633860166,2.302511666690135,6.608263278741111,3.4459154139511234,7.375241495376593,fake,Red and White Modern Minimalist Geometric Certificate of Achievement .pdf
10,5.938251300098893,10,0.202697282038633,5.0,0,4.061748699901107,7.679402206971925,0.06921346299023089,10,7.807493417817245,2.302511666690135,6.267719808718738,3.9440382800544183,7.763826715164793,authentic,Rajeshwari Meti.pdf
10,5.938251300098893,10,0.202697282038633,5.0,0,4.061748699901107,7.679402206971925,0.06921346299023089,10,6.323904277749885,2.302511666690135,5.848338418499587,3.9440382800544183,6.234364292369232,fake,Rajeshwari Meti.pdf
10,5.938251300098893,10,0.202697282038633,5.0,0,4.061748699901107,7.679402206971925,0.06921346299023089,10,6.42939476665837,2.302511666690135,6.783314061448608,3.9440382800544183,8.859648091518558,fake,Rajeshwari Meti.pdf
10,6.410481131510448,8.457267762611636,0.3344719421377443,5.0,0,3.5895188684895527,7.887096254370167,0.022273879018454432,10,5.601605515971267,2.302511666690135,7.299495019789215,4.062281069972644,6.548841544032079,fake,Mrudul Potdar.pdf
10,6.410481131510448,8.457267762611636,0.3344719421377443,5.0,0,3.5895188684895527,7.887096254370167,0.022273879018454432,10,6.4045795726162265,2.302511666690135,4.959848581145019,4.062281069972644,8.244790489864215,fake,Mrudul Potdar.pdf
